job_id,skill_id
1,14
1,15
1,16
1,20
1,35
2,3
2,6
2,7
2,36
3,14
3,15
3,16
3,20
3,37
4,6
4,8
4,9
4,21
5,11
5,14
5,20
5,24
6,15
6,20
6,21
6,34
7,3
7,6
7,24
8,3
8,6
8,16
8,22
8,36
9,11
9,16
9,17
9,22
9,24
10,3
10,6
10,19
10,36
11,2
11,14
11,15
11,31
11,32
12,2
12,16
12,31
12,32
13,16
13,17
13,18
13,20
13,33
14,2
14,14
14,31
14,37
15,11
15,13
15,14
15,37
16,2
16,6
16,9
16,19
16,31
17,3
17,6
17,7
17,19
18,6
18,9
18,14
18,19
19,2
19,12
19,14
19,24
20,14
20,15
20,22
20,38
21,6
21,19
21,28
21,29
22,2
22,15
22,21
22,24
23,2
23,15
23,16
23,31
23,37
24,2
24,16
24,17
24,22
24,24
25,2
25,6
25,11
25,14
25,22
26,14
26,15
26,20
26,34
27,11
27,14
27,20
27,35
27,37
28,2
28,10
28,11
28,31
28,32
29,3
29,6
29,16
29,22
30,2
30,14
30,16
30,20
30,34
