company_id,name,description,website,location,is_verified,verified_by,created_at,updated_at,updated_by,deleted_at,deleted_by,employee_count,hr_contact_email,cro_linkedin,registration_number
1,Stripe,Financial infrastructure for the internet. Millions of companies use Stripe software to accept payments and manage businesses online.,https://stripe.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,5000+,hiring@stripe.com,https://linkedin.com/company/stripe,REG-US-782910
2,Datadog,"Monitoring and security platform for cloud applications. See metrics, traces, and logs in one unified dashboard.",https://datadoghq.com,"New York, NY",True,,2026-09-03 17:32:00.017107+00:00,,,,,3000+,talent@datadog.com,https://linkedin.com/company/datadog,REG-US-629103
3,Vercel,"Frontend cloud platform providing developer tools and cloud infrastructure to build, scale, and secure modern web apps.",https://vercel.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,500-1000,careers@vercel.com,https://linkedin.com/company/vercel,REG-US-418290
4,Supabase,"Open source Firebase alternative providing all the backend features you need: database, auth, storage, and edge functions.",https://supabase.com,Remote / Singapore,True,,2026-09-03 17:32:00.017107+00:00,,,,,100-250,people@supabase.io,https://linkedin.com/company/supabase,REG-SG-910283
5,Cloudflare,"Global network designed to make everything you connect to the Internet secure, private, fast, and reliable.",https://cloudflare.com,"Austin, TX",True,,2026-09-03 17:32:00.017107+00:00,,,,,3500+,recruiting@cloudflare.com,https://linkedin.com/company/cloudflare,REG-US-102938
6,Figma,Collaborative web-based design platform for teams to build and prototype modern interfaces together.,https://figma.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,jobs@figma.com,https://linkedin.com/company/figma,REG-US-392019
7,Canva,Online design and visual communication platform empowering people around the world to design anything.,https://canva.com,"Sydney, Australia",True,,2026-09-03 17:32:00.017107+00:00,,,,,3000+,hr@canva.com,https://linkedin.com/company/canva,REG-AU-829102
8,Snowflake,"Cloud data platform that mobilizes data with near-unlimited scale, concurrency, and performance.",https://snowflake.com,"Bozeman, MT",True,,2026-09-03 17:32:00.017107+00:00,,,,,5000+,careers@snowflake.com,https://linkedin.com/company/snowflake,REG-US-771829
9,Linear,Issue tracking software built for high-performance software engineering teams and modern development sprints.,https://linear.app,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,50-100,hiring@linear.app,https://linkedin.com/company/linear-app,REG-US-291029
10,OpenAI,AI research and deployment company dedicated to ensuring artificial general intelligence benefits all of humanity.,https://openai.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,talent@openai.com,https://linkedin.com/company/openai,REG-US-991029
11,Anthropic,"AI safety and research company working to build reliable, beneficial, and steerable AI systems including Claude.",https://anthropic.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,500-1000,recruiting@anthropic.com,https://linkedin.com/company/anthropic,REG-US-482019
