job_id,company_id,title,description,location,salary_min,salary_max,employment_type,status,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
1,1,Staff Infrastructure Engineer,Architect and operate Stripe's global transaction processing mesh handling billions of dollars daily. Requires deep systems expertise and distributed consensus knowledge.,"San Francisco, CA",185000,245000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
2,1,Senior Frontend Engineer - Checkout,"Build high-conversion, zero-latency payment interfaces used by millions of checkouts worldwide. Deep React and TypeScript skills required.",Remote - USA,160000,210000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
3,2,Site Reliability Engineer - Data Ingestion,Scale Datadog's metric intake pipelines ingesting tens of trillions of events per day. Optimize latency and write resilience under massive throughput.,"New York, NY",155000,215000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
4,3,Edge Runtime Systems Architect,Work on the Vercel Edge Network and V8 isolated runtimes powering millions of Next.js serverless functions globally.,"San Francisco, CA",175000,235000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
5,4,PostgreSQL Kernel & Storage Engineer,"Develop database extensions, foreign data wrappers, and high-performance replication engines for Supabase managed Postgres instances.",Remote - Global,145000,195000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
6,5,Distributed Security Systems Engineer,Implement high-throughput packet filtering and DDoS mitigation systems across Cloudflare's Anycast edge backbone in 300+ cities.,"Austin, TX",160000,215000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
7,6,Canvas & WebGL Rendering Specialist,Optimize Figma's C++ WebAssembly multiplayer rendering pipeline for 120fps fluid editing on complex vector canvases.,"San Francisco, CA",180000,240000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
8,7,Full Stack Product Engineer,Deliver intuitive design tools and real-time collaboration features to Canva's 100+ million monthly active users.,"Sydney, Australia",130000,175000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
9,8,Distributed Query Engine Engineer,Develop vectorized SQL query execution algorithms and caching mechanisms on Snowflake's cloud-native data warehouse architecture.,"Bozeman, MT",170000,230000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
10,9,Senior React / Desktop App Engineer,"Build Linear's keyboard-first, lightning fast issue tracker across web and Electron desktop clients.",Remote - Global,150000,200000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
11,10,Reinforcement Learning Research Engineer,"Develop and scale reinforcement learning algorithms (RLHF, PPO) for training state-of-the-art language and reasoning models.","San Francisco, CA",220000,320000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
12,11,AI Safety & Alignment Engineer,Design scalable evaluation frameworks and interpretability tools to verify the safety and steerability of Claude models.,"San Francisco, CA",210000,300000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
13,12,Terraform Provider Core Engineer,Maintain and expand HashiCorp Terraform core engine and multi-cloud providers for declarative cloud infrastructure.,Remote - USA,145000,195000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
14,13,Machine Learning Engineer - Recommendations,Train collaborative filtering and deep graph neural networks delivering personalized music discover weekly playlists.,"Stockholm, Sweden",125000,170000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
15,14,High-Throughput Rails / Ruby Core Architect,Optimize Shopify's massive core monolith processing hundreds of billions of dollars during Black Friday Cyber Monday peak events.,"Ottawa, Canada",150000,205000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
16,16,Staff Copilot Integrations Engineer,"Build developer-facing IDE extensions, language server protocol integrations, and contextual code synthesis pipelines for GitHub Copilot.","San Francisco, CA",185000,250000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
17,17,Frontend Platform Core Engineer,"Architect the custom component runtime, virtual DOM tree, and state management engine powering Retool internal apps.","San Francisco, CA",155000,205000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
18,18,API Protocol & Automation Architect,"Build Postman's next-generation API testing engine supporting REST, GraphQL, gRPC, and WebSocket protocols.","San Francisco, CA",140000,185000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
19,19,Distributed Storage Engine Developer,Optimize WiredTiger and document indexing performance for MongoDB multi-region clusters under high write concurrency.,"New York, NY",165000,220000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
20,20,Distributed Search Systems Engineer,Enhance inverted index structures and vector similarity search in Elasticsearch and Lucene clusters.,"Mountain View, CA",155000,210000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
21,21,Mobile Systems Lead - iOS / Swift,Build fluid offline-first document synchronization and block editing primitives for Notion's iOS application.,"San Francisco, CA",160000,215000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
22,22,Real-time Voice & Video WebRTC Engineer,Scale Discord's low-latency voice and video infrastructure serving hundreds of millions of concurrent gamers.,"San Francisco, CA",170000,230000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
23,23,ML Data Pipeline Architect,Build distributed batch and streaming pipelines processing billions of high-quality multimodal training samples for Scale customers.,"San Francisco, CA",165000,225000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
24,24,Distributed Spark Optimization Engineer,Develop hardware-accelerated query kernels on top of Apache Spark and Delta Lake for Databricks Lakehouse.,"San Francisco, CA",195000,265000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
25,25,Forward Deployed Systems Engineer,Partner directly with government and enterprise organizations to deploy Palantir Foundry for mission-critical operations.,"Denver, CO",145000,195000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
26,26,DevSecOps Vulnerability Scanner Engineer,Build dynamic application security testing (DAST) and container vulnerability scanning modules in the GitLab CI/CD runner.,Remote - USA,140000,185000,remote,open,2026-09-03 17:32:00.017107+00:00,,,,,
27,27,Fintech Ledger & Payments Engineer,Architect immutable double-entry ledger systems and real-time ACH transaction rails for Brex commercial banking.,"Salt Lake City, UT",150000,205000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
28,28,Real-time Fraud Detection ML Specialist,Develop millisecond-latency transaction scoring models and anomaly detection pipelines protecting Ramp corporate cards.,"New York, NY",175000,235000,full_time,open,2026-09-03 17:32:00.017107+00:00,,,,,
