skill_id,name,created_at,created_by,updated_at
6,TypeScript,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
7,JavaScript,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
8,Next.js,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
9,Node.js,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
10,FastAPI,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
11,PostgreSQL,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
12,MongoDB,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
13,Redis,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
14,Docker,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
15,Kubernetes,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
16,AWS,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
17,Google Cloud,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
18,Microsoft Azure,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
19,GraphQL,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
20,Go,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
21,Rust,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
22,Java,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
23,Spring Boot,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
24,C++,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
25,C#,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
26,.NET Core,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
27,Flutter,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
28,React Native,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
29,Swift,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
30,Kotlin,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
31,Machine Learning,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
32,PyTorch,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
33,Terraform,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
34,CI/CD,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
35,Microservices,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
36,TailwindCSS,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
37,Kafka,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
38,Elasticsearch,2026-09-03 17:28:22.828799+00:00,,2026-09-03 17:32:00.017107+00:00
2,Python,2026-09-03 11:23:24.139896+00:00,,2026-09-03 17:35:22.324289+00:00
3,React,2026-09-03 11:23:24.160666+00:00,,2026-09-03 17:35:22.324289+00:00
